No,Roll,Semeset,CGPA

1,156337,7, 66653(T) 68546(T)
2,156795,7, 66853(T) 66854(T)
3,156815,7, 66853(T)
4,157070,7, 65851(T)
5,185452,7,3.18
6,185453,7,3.47
7,185454,7,3.01
8,185455,7, 66752(T) 66856(T)
9,185456,7,3.15
10,185458,7,2.93
11,186809,7, 66653(T)
12,186812,7,2.88
13,364499,7, 66856(T)
14,450168,7,3.61
15,468002,7,3.21
16,468018,7,2.46
17,468020,7,2.79
18,468037,7, 66456(T)
19,468054,7, 66445(T)
20,468066,7, 66454(T)
21,468067,7,2.75
22,468076,7, 66454(T)
23,468084,7, 66452(T)
24,468100,7,3.13
25,468146,7, 68546(T)
26,468152,7, 66651(T) 68546(T)
27,468179,7, 66651(T)
28,468229,7, 66842(T)
29,468231,7,3.46
30,468250,7, 66641(T) 68546(T)
31,468270,7, 66651(T)
32,468294,7, 66856(T) 69054(T)
33,468321,7, 66856(T)
34,468330,7, 66856(T)
35,468359,7, 66856(T)
36,468455,7,2.28
37,468492,7,2.82
38,468547,7, 66853(T) 66854(T)
39,468627,7,2.46
40,468635,7, 66852(T) 66853(T)
41,468654,7, 66854(T)
42,468708,7, 66743(T)
43,468712,7, 66852(T) 66854(T)
44,468726,7, 66842(T) 66854(T)
45,468815,7, 66631(T)
46,468954,7, 69451(T)
47,468967,7,2.89
48,468976,7, 66631(T) 66841(T)
49,468987,7, 66841(T)
50,468996,7,2.70
51,469022,7, 66631(T) 69453(T)
52,469074,7, 69451(T)
53,469125,7,2.65
54,469140,7,2.73
55,469152,7,2.63
56,493230,7,2.79
57,493238,7, 68546(T)
58,494245,7, 66445(T)
59,530658,7, 66854(T)
60,533522,7, 66631(T)
61,534575,7,3.39
62,534665,7,3.36
63,536965,7,3.38
64,536966,7, 66851(T) 66853(T)
65,536968,7, 66841(T) 66853(T)
66,543019,7,3.08
67,544078,7,2.95
68,548892,7,3.44
69,548969,7,3.18
70,549071,7,3.58
71,549118,7,2.65
72,549176,7,3.39
73,549199,7,3.15
74,549405,7,3.36
75,550715,7, 66653(T) 68546(T)
76,550739,7, 66653(T) 68546(T)
77,550740,7, 68546(T)
78,553468,7,3.25
79,553536,7,3.55
80,553537,7,3.51
81,553872,7,2.74
82,553904,7,3.37
83,553995,7,3.11
84,568213,7,2.64
85,570833,7,3.04
86,570836,7,3.89
87,570837,7,3.86
88,570840,7,3.57
89,570841,7, 66442(T)
90,570842,7,2.89
91,570845,7, 65851(T) 66442(T)
92,570846,7,3.54
93,570847,7, 66442(T)
94,570850,7,3.93
95,570852,7,2.93
96,570854,7,3.71
97,570855,7,3.14
98,570856,7,2.54
99,570857,7,3.68
100,570858,7,3.36
101,570859,7,2.96
102,570860,7,3.18
103,570861,7,3.04
104,570863,7, 66452(T)
105,570864,7, 66442(T)
106,570867,7,2.86
107,570868,7,3.32
108,570869,7,2.89
109,570870,7, 66456(T)
110,570871,7,3.57
111,570873,7,3.11
112,570874,7, 66442(T)
113,570875,7, 66455(T)
114,570876,7,4.00
115,570877,7,2.93
116,570878,7, 66442(T) 66455(T)
117,570879,7,2.89
118,570880,7,3.96
119,570881,7,2.57
120,570882,7,2.71
121,570883,7, 66456(T)
122,570884,7,3.57
123,570885,7, 66455(T)
124,570886,7,2.93
125,570887,7, 66454(T) 66456(T)
126,570889,7,3.00
127,570891,7, 66454(T)
128,570892,7,3.29
129,570893,7, 66456(T)
130,570894,7,3.07
131,570897,7,3.71
132,570899,7, 66456(T)
133,570902,7,2.89
134,570904,7, 66442(T)
135,570906,7, 66456(T)
136,570908,7, 66456(T)
137,570910,7, 66456(T)
138,570911,7, 66454(T)
139,570912,7,3.86
140,570913,7,3.39
141,570914,7,3.57
142,570915,7,3.54
143,570916,7, 66442(T)
144,570918,7, 66452(T) 66456(T)
145,570922,7,3.21
146,570923,7,2.86
147,570924,7,3.96
148,570926,7,3.21
149,570927,7,3.86
150,570928,7,3.71
151,570929,7,3.29
152,570931,7,3.59
153,570932,7, 68546(T)
154,570933,7,3.63
155,570934,7,3.51
156,570936,7,3.71
157,570937,7,3.48
158,570938,7, 68546(T)
159,570939,7, 66651(T) 68546(T)
160,570940,7,3.63
161,570944,7,3.70
162,570946,7,3.35
163,570947,7, 66651(T)
164,570948,7, 66653(T)
165,570949,7,3.63
166,570950,7,3.66
167,570951,7,3.71
168,570953,7, 66651(T) 66653(T)
169,570956,7,3.31
170,570957,7,3.70
171,570958,7,3.35
172,570959,7,3.43
173,570961,7,3.19
174,570963,7,3.48
175,570964,7,3.55
176,570967,7,4.00
177,570968,7, 66653(T)
178,570974,7,3.33
179,570976,7,3.43
180,570977,7,3.76
181,570979,7,3.54
182,570982,7,3.41
183,570983,7,3.73
184,570984,7,3.41
185,570985,7,3.71
186,570987,7,3.34
187,570988,7,3.68
188,570989,7,3.51
189,570990,7,3.46
190,570991,7,3.63
191,570993,7,3.46
192,570994,7, 68546(T)
193,570995,7,3.53
194,570996,7,3.34
195,570998,7,3.55
196,570999,7,3.58
197,571000,7,3.55
198,571003,7, 66651(T) 66653(T)
199,571004,7,3.48
200,571005,7,3.60
201,571006,7,3.19
